countyFIPS,County Name,State,stateFIPS,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020
26113,Missaukee County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
26115,Monroe County,MI,26,0,0,0,0,0,1,1,1,1,1,2,3,3,6,7,12,18,21,28,34,38,45,49,58,79,95,101,108,117
26117,Montcalm County,MI,26,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,5,10,10,12,13,14,15
26119,Montmorency County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26121,Muskegon County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,6,7,13,18,18,18,26,30,31,31,33
26123,Newaygo County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
26125,Oakland County,MI,26,0,1,1,3,6,9,14,14,16,23,105,184,229,277,329,428,543,668,824,1018,1170,1365,1591,1910,2183,2540,2785,3035,3380
26127,Oceana County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3
26129,Ogemaw County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3
26131,Ontonagon County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26133,Osceola County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3
26135,Oscoda County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
26137,Otsego County,MI,26,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,6,7,7,14,17,17,19,19,19,20,22,24,26
26139,Ottawa County,MI,26,0,0,0,0,0,0,1,1,1,1,1,1,2,6,11,15,16,18,21,23,25,28,31,31,35,37,39,44,44
26141,Presque Isle County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26143,Roscommon County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,5
26145,Saginaw County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,9,10,14,19,24,36,51,71,82,90,103,118,139
26147,St. Clair County,MI,26,0,0,0,1,1,1,2,2,2,2,4,7,7,7,7,8,8,13,15,16,20,25,32,41,53,66,85,94,110
26149,St. Joseph County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,8,9,9,10,11
26151,Sanilac County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,5,7,7,8,10,13,13,14
26153,Schoolcraft County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26155,Shiawassee County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,8,8,11,17,18,22,23,24
26157,Tuscola County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,4,5,9,11,14,15,20,22,22
26159,Van Buren County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,4,7,10,12,12,12,14,16
26161,Washtenaw County,MI,26,0,0,0,2,3,4,7,7,7,7,14,16,29,35,42,50,72,92,150,185,231,266,305,401,438,477,501,518,539
26163,Wayne County,MI,26,0,1,1,1,6,8,13,14,17,23,119,216,349,477,638,873,1121,1389,1810,2316,2704,3195,3735,4470,5069,6096,6762,7518,8270
26165,Wexford County,MI,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,5,5
